Moisture,Volatile_matter,Fixed_Carbon,Std.Ash,Hydrogen,Carbon,Nitrogen,Oxygen,Sulfur,GCV_kcal
17.5,34.4,44.1,4.0,5.9,58.3,1.4,30.1,0.3,4624.758475065609
23.8,33.1,37.8,5.3,6.1,50.7,1.4,35.9,0.6,3620.28258192951
15.4,36.1,44.7,3.8,5.9,60.0,1.5,28.5,0.3,4850.4343595935115
41.8,25.2,23.4,9.6,6.3,30.9,0.7,52.0,0.5,1498.8380167688279
16.0,34.3,45.8,3.9,5.8,60.0,0.8,29.1,0.4,4746.142775050311
23.7,35.51,36.12,4.67,6.07,51.77,0.97,36.24,0.28,3666.542790856326
14.5,34.6,44.5,6.4,5.5,58.5,1.0,28.2,0.4,4664.760887973999
34.7,28.3,24.3,12.7,5.9,33.7,1.0,46.3,0.4,1884.6480513556648
21.9,32.7,37.8,7.6,5.6,50.0,1.2,35.0,0.6,3610.813629373911
17.1,36.7,42.0,4.2,6.0,57.7,0.9,30.8,0.4,4578.205450619229
39.1,26.7,28.6,5.6,6.3,36.8,0.6,50.4,0.3,1896.273006139089
39.7,27.2,26.7,6.4,6.2,35.3,0.7,51.0,0.4,1747.034774357631
14.8,38.6,38.4,8.2,5.7,55.8,0.7,28.9,0.7,4501.842303462831
35.1,31.0,25.0,8.9,5.9,36.0,0.9,47.0,1.3,1941.511367817312
24.3,29.8,31.3,14.6,5.3,41.0,1.1,37.7,0.3,2731.0079897417313
38.8,27.5,28.4,5.3,6.2,37.0,0.7,50.6,0.2,1898.759525711793
30.4,28.2,30.9,10.5,5.4,39.2,1.1,43.6,0.2,2286.886869493479
22.1,31.9,39.1,6.9,5.1,49.4,1.1,36.7,0.8,3442.0980661814824
18.7,34.2,36.4,10.7,5.5,48.9,0.9,33.7,0.3,3645.991410036858
22.0,33.2,40.3,4.5,5.6,51.6,1.3,36.7,0.3,3645.192171943983
